"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"OS-PP-RINGTOSS","X002XCGXMX","B015QDLQGC","Play Platoon Ring Toss Game - Backyard Games for Kids - Includes 8 Rope & 8 Plastic Rings and Carry Bag","Toys","Play Platoon","Amazon","19.99","19.99","17.8","6.3","3.3","37.0","inches","2.3","pounds","UsLargeStandardSize","USD","8.68","3.00","0.00","--","--","--","5.68"
"OS-IL-CDBC-BK2","X002XCGXMD","B07FFB622C","Hardware para puerta de clóset – 2 unidades, Negro","Home Improvement","Ilyapa","Amazon","390.63","390.63","8.38","8.38","2.54","30.22","centimeters","135.99","grams","Standard","MXN","167.10","50.51","--","--","--","--","116.59"
"OS-IL-CDBC-BK2","X002XCGXMD","B07FFB622C","Ball Catch Door Hardware for Closet, Black 2 Pack","Home Improvement","Ilyapa","Amazon","26.56","26.56","8.38","8.38","2.54","30.22","centimeters","135.99","grams","Standard","CAD","12.36","3.98","0.00","--","--","--","8.38"
"OS-IL-CDBC-BK2","X002XCGXMD","B07FFB622C","Ilyapa Ball Catch Door Hardware for Closet, Black 2 Pack","Home Improvement","Ilyapa","Amazon","12.99","12.99","3.3","3.3","1.0","11.9","inches","0.3","pounds","UsLargeStandardSize","USD","5.42","1.95","0.00","--","--","--","3.47"
"OS-IL-2GAL-SSP-NSD","X002XCGXLT","B07PMFGNC2","Dispensador de bebidas de vidrio sin soporte, dispensadores de bebidas para agua fría, limonada, té y más, tamaños de 15 x 25 o 17 x 30 pulgadas, 2 Gallon, Stainless Steel Spigot","Kitchen","Ilyapa","Amazon","1164.39","1164.39","35.6","24.3","21.2","126.6","centimeters","2889.02","grams","Oversize","MXN","403.50","150.57","--","--","--","--","252.93"
"OS-IL-2GAL-SSP-NSD","X002XCGXLT","B07PMFGNC2","Ilyapa Outdoor Glass Beverage Dispenser with Stainless Steel Spigot - 2 Gallon Drink Dispenser for Lemonade, Tea, Cold Water & More","Kitchen","Ilyapa","Amazon","45.99","45.99","14.02","9.57","8.35","49.84","inches","6.37","pounds","UsSmallOversize","USD","18.60","6.90","0.00","--","--","--","11.70"
"OS-PP-CH-PUBK","X002XCGXLJ","B07MWKT9F4","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Purple & Black","Toys","Play Platoon","Amazon","715.95","715.95","31.8","7.6","6.0","59.0","centimeters","3422.99","grams","Standard","MXN","282.48","92.58","--","--","--","--","189.90"
"OS-PP-CH-PUBK","X002XCGXLJ","B07MWKT9F4","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Purple & Black","Sports","Play Platoon","Amazon","51.86","51.86","31.8","7.6","6.0","59.0","centimeters","3422.99","grams","Standard","CAD","23.53","7.78","0.00","--","--","--","15.75"
"OS-PP-CH-PUBK","X002XCGXLJ","B07MWKT9F4","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Purple & Black","Sports","Play Platoon","Amazon","21.98","21.98","12.52","2.99","2.36","23.23","inches","7.55","pounds","UsLargeStandardSize","USD","10.48","3.30","0.00","--","--","--","7.18"
"OS-PP-CHL-WH-B","X002XCF4U5","B07RY2QS6R","Cornhole - Juego de luces LED para tablero de maíz, color blanco","Sports","Play Platoon","Amazon","419.01","419.01","21.34","20.57","4.83","72.14","centimeters","295.02","grams","Standard","MXN","170.77","54.18","--","--","--","--","116.59"
"OS-PP-CHL-WH-B","X002XCF4U5","B07RY2QS6R","LED Cornhole Board Lights - Multiple Colours to Choose from - Corn Hole Edge Lighting Kit for Playing at Night","Sports","Play Platoon","Amazon","28.15","28.15","21.34","20.57","4.83","72.14","centimeters","295.02","grams","Standard","CAD","12.60","4.22","0.00","--","--","--","8.38"
"OS-PP-CHL-WH-B","X002XCF4U5","B07RY2QS6R","Cornhole Board Lights - LED Corn Hole Lighting Kit for Playing at Night - White in Color","Sports","Play Platoon","Amazon","13.99","13.99","8.4","8.1","1.9","28.4","inches","0.65","pounds","UsLargeStandardSize","USD","5.74","2.10","0.00","--","--","--","3.64"
"OS-PP-CH-NBYE","X002XCF4SH","B07LGCYN27","Play Platoon Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight","Sports","Play Platoon","Amazon","659.48","659.48","27.79","24.99","7.19","92.15","centimeters","3602.02","grams","Standard","MXN","282.08","85.28","--","--","--","--","196.80"
"OS-PP-CH-NBYE","X002XCF4SH","B07LGCYN27","Play Platoon Weather Resistant Cornhole Bean Bags Set of 8 - Navy Blue & Yellow","Sports","Play Platoon","Amazon","48.77","48.77","27.79","24.99","7.19","92.15","centimeters","3602.02","grams","Standard","CAD","23.87","7.32","0.00","--","--","--","16.55"
"OS-PP-CH-NBYE","X002XCF4SH","B07LGCYN27","Weather Resistant Cornhole Bean Bags Set of 8 - Navy Blue & Yellow","Biss","Play Platoon","Amazon","17.71","17.71","10.94","9.84","2.83","36.28","inches","7.94","pounds","UsLargeStandardSize","USD","9.31","2.13","0.00","--","--","--","7.18"
"OS-PP-CHL-BL-C","X002XCF4RX","B07S4D8QMH","Luces LED para tabla de cornhole – varios colores a elegir – Kit de iluminación de agujero de maíz para jugar por la noche, azul Lights","Sports","Play Platoon","Amazon","437.68","437.68","21.9","17.8","5.0","67.5","centimeters","303.0","grams","Standard","MXN","173.19","56.60","--","--","--","--","116.59"
"OS-PP-CHL-BL-C","X002XCF4RX","B07S4D8QMH","Cornhole Board Lights - LED Corn Hole Lighting Kit for Playing at Night - Blue in Color","Sports","Play Platoon","Amazon","29.42","29.42","21.9","17.8","5.0","67.5","centimeters","303.0","grams","Standard","CAD","12.79","4.41","0.00","--","--","--","8.38"
"OS-PP-CHL-BL-C","X002XCF4RX","B07S4D8QMH","Play Platoon Cornhole Board Lights, Set of 2 - Blue LED Light Corn Hole Boards Lighting Kit for Lighted Outdoor Night Games - Bright, Long Lasting, Easy to Install","Sports","Play Platoon","Amazon","15.02","15.02","8.62","7.01","1.97","26.57","inches","0.67","pounds","UsLargeStandardSize","USD","5.89","2.25","0.00","--","--","--","3.64"
"OS-IFC-163B100-PK2","X002XCCAM5","B07MTQ38D2","Paquete de 2 cables de extensión negro de 100 pies, paquete de cables eléctricos duraderos 16/3","Home Improvement","Iron Forge Cable","Amazon","1612.81","1612.81","31.9","31.2","17.8","129.9","centimeters","6636.01","grams","Standard","MXN","446.75","208.55","--","--","--","--","238.20"
"OS-IFC-163B100-PK2","X002XCCAM5","B07MTQ38D2","2 Pack of 100 Ft Black Extension Cord - 16/3 Durable Electrical Cable Pack","Home Improvement","Iron Forge Cable","Amazon","59.95","59.95","12.56","12.28","7.01","51.14","inches","14.63","pounds","UsLargeStandardSize","USD","18.27","8.99","0.00","--","--","--","9.28"
"OS-PP-CHL-RE-B","X002XCCACP","B07RY264FL","Luces LED para tabla de cornhole – varios colores a elegir – Kit de iluminación de agujero de maíz para jugar por la noche, rojo  (Red Lights)","Sports","Play Platoon","Amazon","421.32","421.32","24.6","4.7","1.0","36.0","centimeters","300.01","grams","Envelope","MXN","152.12","54.48","--","--","--","--","97.64"
"OS-PP-CHL-RE-B","X002XCCACP","B07RY264FL","Cornhole Board Lights - Red LED Corn Hole Lighting Kit for Playing at Night","Sports","Play","Amazon","28.21","28.21","24.6","4.7","1.0","36.0","centimeters","300.01","grams","Envelope","CAD","11.20","4.23","0.00","--","--","--","6.97"
"OS-PP-CHL-RE-B","X002XCCACP","B07RY264FL","Play Platoon Cornhole Board Lights, Set of 2 - Red LED Light Corn Hole Boards Lighting Kit for Lighted Outdoor Night Games - Bright, Long Lasting, Easy to Install","Sports","Play Platoon","Amazon","14.45","14.45","9.69","1.85","0.39","14.17","inches","0.66","pounds","UsSmallStandardSize","USD","5.01","2.17","0.00","--","--","--","2.84"
"OS-IL-CABKRB-B10","X002XCCA7P","B01JMZX46U","Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","501.03","501.03","13.46","9.14","4.57","40.88","centimeters","430.91","grams","Standard","MXN","213.29","64.79","--","--","--","--","148.50"
"OS-IL-CABKRB-B10","X002XCCA7P","B01JMZX46U","Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","34.44","34.44","13.46","9.14","4.57","40.88","centimeters","430.91","grams","Standard","CAD","16.12","5.17","0.00","--","--","--","10.95"
"OS-IL-CABKRB-B10","X002XCCA7P","B01JMZX46U","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","16.99","16.99","5.3","3.6","1.8","16.09","inches","0.95","pounds","UsLargeStandardSize","USD","6.80","2.55","0.00","--","--","--","4.25"
"OS-IL-BTL16A-12","X002XCB9L3","B01IC1NQFO","16 oz Amber Glass Beer Bottles for Home Brewing 12 Pack with Flip Caps","Kitchen","Ilyapa","Amazon","1051.99","1051.99","45.59","26.59","17.81","134.39","centimeters","5628.99","grams","Oversize","MXN","360.43","136.03","--","--","--","--","224.40"
"OS-IL-BTL16A-12","X002XCB9L3","B01IC1NQFO","16 oz Amber Glass Beer Bottles for Home Brewing 12 Pack with Flip Caps","Kitchen","Ilyapa","Amazon","76.57","76.57","45.59","26.59","17.81","134.39","centimeters","5628.99","grams","Oversize","CAD","31.24","11.49","0.00","--","--","--","19.75"
"OS-IL-BTL16A-12","X002XCB9L3","B01IC1NQFO","16 oz Amber Glass Beer Bottles for Home Brewing 12 Pack with Flip Caps","Kitchen","Ilyapa","Amazon","33.99","33.99","17.95","10.47","7.01","52.91","inches","12.41","pounds","UsLargeStandardSize","USD","13.78","5.10","0.00","--","--","--","8.68"
"OS-PP-CH-PUGY","X002X9HYBZ","B07ZTL1NWK","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Purple & 4 Gray Corn Hole Bags","Toys","Play Platoon","Amazon","633.51","633.51","29.0","24.6","5.6","89.4","centimeters","3409.02","grams","Standard","MXN","271.82","81.92","--","--","--","--","189.90"
"OS-PP-CH-PUGY","X002X9HYBZ","B07ZTL1NWK","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Purple & 4 Gray Corn Hole Bags","Sports","Play Platoon","Amazon","46.71","46.71","29.0","24.6","5.6","89.4","centimeters","3409.02","grams","Standard","CAD","22.76","7.01","0.00","--","--","--","15.75"
"OS-PP-CH-PUGY","X002X9HYBZ","B07ZTL1NWK","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Purple & 4 Gray Corn Hole Bags","Sports","Play Platoon","Amazon","17.95","17.95","11.42","9.69","2.2","35.2","inches","7.52","pounds","UsLargeStandardSize","USD","9.87","2.69","0.00","--","--","--","7.18"
"OS-PP-CH-BLGY","X002X99IPZ","B07LGD61Z3","Play Platoon Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight","Sports","Play Platoon","Amazon","648.96","648.96","27.43","22.35","4.57","81.28","centimeters","3469.98","grams","Standard","MXN","273.82","83.92","--","--","--","--","189.90"
"OS-PP-CH-BLGY","X002X99IPZ","B07LGD61Z3","Play Platoon Weather Resistant Cornhole Bean Bags Set of 8 - Blue & Gray","Sports","Play Platoon","Amazon","47.72","47.72","27.43","22.35","4.57","81.28","centimeters","3469.98","grams","Standard","CAD","22.91","7.16","0.00","--","--","--","15.75"
"OS-PP-CH-BLGY","X002X99IPZ","B07LGD61Z3","Weather Resistant Cornhole Bean Bags Set of 8 - Blue & Gray","Biss","Play Platoon","Amazon","17.95","17.95","10.8","8.8","1.8","32.0","inches","7.65","pounds","UsLargeStandardSize","USD","9.33","2.15","0.00","--","--","--","7.18"
"OS-PP-CH-HGBK","X002X99IOV","B0785GJ9LF","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Hunter Green & Black","Toys","Play Platoon","Amazon","654.11","654.11","26.92","22.61","6.6","85.34","centimeters","3424.99","grams","Standard","MXN","274.48","84.58","--","--","--","--","189.90"
"OS-PP-CH-HGBK","X002X99IOV","B0785GJ9LF","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Hunter Green & Black","Sports","Play Platoon","Amazon","48.10","48.10","26.92","22.61","6.6","85.34","centimeters","3424.99","grams","Standard","CAD","22.97","7.22","0.00","--","--","--","15.75"
"OS-PP-CH-HGBK","X002X99IOV","B0785GJ9LF","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Hunter Green & Black","Sports","Play Platoon","Amazon","18.95","18.95","10.6","8.9","2.6","33.6","inches","7.55","pounds","UsLargeStandardSize","USD","10.02","2.84","0.00","--","--","--","7.18"
"OS-PP-CH-CAMO","X002X99IO1","B0821R7C1V","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Green Camo & 4 Desert Camouflage Corn Hole Bags","Toys","Play Platoon","Amazon","674.95","674.95","31.3","24.4","5.9","91.9","centimeters","3435.01","grams","Standard","MXN","277.18","87.28","--","--","--","--","189.90"
"OS-PP-CH-CAMO","X002X99IO1","B0821R7C1V","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Green Camo & 4 Desert Camouflage Corn Hole Bags","Sports","Play Platoon","Amazon","49.45","49.45","31.3","24.4","5.9","91.9","centimeters","3435.01","grams","Standard","CAD","23.17","7.42","0.00","--","--","--","15.75"
"OS-PP-CH-CAMO","X002X99IO1","B0821R7C1V","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Green Camo & 4 Desert Camouflage Corn Hole Bags","Sports","Play Platoon","Amazon","19.99","19.99","12.32","9.61","2.32","36.18","inches","7.57","pounds","UsLargeStandardSize","USD","10.18","3.00","0.00","--","--","--","7.18"
"OS-PP-CH-SLBK","X002X99INR","B01K4ZDLII","Play Platoon Juego de 8 Bolsas para Jugar Cornhole, 4 Color Plata y 4 Color Negro, Resistentes a la Intemperie y al Agua.","Sports","Play Platoon","Amazon","635.11","635.11","29.97","23.11","6.35","88.9","centimeters","3446.98","grams","Standard","MXN","272.03","82.13","--","--","--","--","189.90"
"OS-PP-CH-SLBK","X002X99INR","B01K4ZDLII","Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Silver & 4 Black","Sports","Play Platoon","Amazon","46.87","46.87","29.97","23.11","6.35","88.9","centimeters","3446.98","grams","Standard","CAD","22.78","7.03","0.00","--","--","--","15.75"
"OS-PP-CH-SLBK","X002X99INR","B01K4ZDLII","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Silver & 4 Black","Sports","Play Platoon","Amazon","17.99","17.99","11.8","9.1","2.5","35.0","inches","7.6","pounds","UsLargeStandardSize","USD","9.88","2.70","0.00","--","--","--","7.18"
"OS-PP-CH-ORNB","X002X99IMX","B07LG2WSMD","Play Platoon Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight","Sports","Play Platoon","Amazon","643.63","643.63","31.39","26.7","5.99","96.77","centimeters","3429.02","grams","Standard","MXN","273.13","83.23","--","--","--","--","189.90"
"OS-PP-CH-ORNB","X002X99IMX","B07LG2WSMD","Play Platoon Weather Resistant Cornhole Bean Bags Set of 8 - Orange & Navy Blue","Sports","Play Platoon","Amazon","47.43","47.43","31.39","26.7","5.99","96.77","centimeters","3429.02","grams","Standard","CAD","22.86","7.11","0.00","--","--","--","15.75"
"OS-PP-CH-ORNB","X002X99IMX","B07LG2WSMD","Weather Resistant Cornhole Bean Bags Set of 8 - Orange & Navy Blue","Biss","Play Platoon","Amazon","17.78","17.78","12.36","10.51","2.36","38.1","inches","7.56","pounds","UsLargeStandardSize","USD","9.31","2.13","0.00","--","--","--","7.18"
"OS-PP-CH-REGY","X002X99IMD","B01K4ZDO0S","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Red & 4 Gray","Toys","Play Platoon","Amazon","674.50","674.50","27.18","24.64","6.35","89.15","centimeters","3424.99","grams","Standard","MXN","277.12","87.22","--","--","--","--","189.90"
"OS-PP-CH-REGY","X002X99IMD","B01K4ZDO0S","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Red & 4 Gray","Sports","Play Platoon","Amazon","49.34","49.34","27.18","24.64","6.35","89.15","centimeters","3424.99","grams","Standard","CAD","23.15","7.40","0.00","--","--","--","15.75"
"OS-PP-CH-REGY","X002X99IMD","B01K4ZDO0S","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Red & 4 Gray","Sports","Play Platoon","Amazon","19.99","19.99","10.7","9.7","2.5","35.1","inches","7.55","pounds","UsLargeStandardSize","USD","10.18","3.00","0.00","--","--","--","7.18"
