"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"CM-CE-163CR30-BLBK","X002QL8S83","B08PVXVK5D","30 Foot Retractable Extension Cord Reel with Breaker Switch and 3 Power Outlets - 16/3 SJTW Durable Blue 16 Gauge Electrical Cable","Home Improvement","Cablectric","Amazon","41.99","41.99","10.98","10.71","4.25","40.91","inches","7.6","pounds","UsLargeStandardSize","USD","13.48","6.30","0.00","--","--","--","7.18"
"CM-CE-123Y03GFCI","X002QL8S7T","B08PVZP192","Cablectric 3 Ft Outdoor GFCI Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Pigtail Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","22.99","22.99","12.05","7.6","2.01","31.26","inches","1.21","pounds","UsLargeStandardSize","USD","8.40","3.45","0.00","--","--","--","4.95"
"CM-CE-163G100","X002QL8S7J","B08PVYJ9N6","Cablectric 100 Foot Outdoor Extension Cord - 16/3 SJTW Green 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","38.99","38.99","15.51","7.83","2.95","37.09","inches","7.2","pounds","UsLargeStandardSize","USD","13.03","5.85","0.00","--","--","--","7.18"
"CM-CE-123Y50P","X002QL8S79","B08PWWKP8W","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","43.99","43.99","14.41","7.28","3.62","36.22","inches","7.11","pounds","UsLargeStandardSize","USD","13.78","6.60","0.00","--","--","--","7.18"
"CM-CE-123Y02P","X002QL8S6Z","B08PW2SC4Y","Cablectric 2 Ft Outdoor Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty Yellow 12 Gauge Lighted Electrical Pigtail Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","9.99","9.99","11.93","3.31","2.44","23.43","inches","0.65","pounds","UsLargeStandardSize","USD","5.14","1.50","0.00","--","--","--","3.64"
"CM-CE-163CR30-GRBK","X002QL8S6P","B08PW2S93N","Cablectric 30 Foot Retractable Extension Cord Reel with Breaker Switch and 3 Power Outlets - 16/3 SJTW Durable Green 16 Gauge Electrical Cable","Home Improvement","Cablectric","Amazon","35.99","35.99","11.26","10.71","4.13","40.95","inches","7.54","pounds","UsLargeStandardSize","USD","12.58","5.40","0.00","--","--","--","7.18"
"CM-PL-FDB-HS","B08HDQT6ZY","B08HDQT6ZY","""Commercial Quality Food Delivery Bag Half-Size 12"""" x 9.5"""" x 11.5"""" Extra Strength Zipper and Thick Insulation - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates""","Biss","Ateny","Amazon","24.99","24.99","13.74","12.8","4.69","48.72","inches","1.1","pounds","UsLargeStandardSize","USD","9.58","3.00","0.00","--","--","--","6.58"
"C4-ZHHP-Q3C7","B08BLQCP16","B08BLQCP16","Commercial Quality Large Pizza Delivery Bag - Store Up to 3 XL Pizzas 18”x 18”x 6” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","Biss","Ateny","Amazon","50.41","50.41","48.26","26.67","11.18","123.95","centimeters","589.99","grams","Oversize","CAD","28.68","6.05","0.00","--","--","--","22.63"
"C4-ZHHP-Q3C7","B08BLQCP16","B08BLQCP16","Commercial Quality Large Pizza Delivery Bag - Store Up to 3 XL Pizzas 18”x 18”x 6” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","Biss","Ateny","Amazon","29.99","29.99","19.0","10.5","4.4","48.8","inches","1.3","pounds","UsSmallOversize","USD","14.54","3.60","0.00","--","--","--","10.94"
"W5-GQ4S-INDS","B08BLP596Y","B08BLP596Y","Ateny Large Insulated Reusable Grocery Bags for Food Delivery Pack of Two - Foldable - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates, Restaurant, Catering, Grocery Transport Bags","Biss","Ateny","Amazon","17.99","17.99","15.94","12.64","3.62","48.46","inches","1.61","pounds","UsLargeStandardSize","USD","8.74","2.16","0.00","--","--","--","6.58"
"VP-N0MT-N7ZS","B08BLN7VTV","B08BLN7VTV","Insulated Portable Cup Carrier - Reusable Coffee or Drink Holder with Shoulder Strap Perfect for Food Delivery and Takeout - Easily Secures 6 Hot or Cold Beverages by Ateny Bags","Biss","Ateny","Amazon","52.38","52.38","31.75","25.15","19.3","120.65","centimeters","816.01","grams","Standard","CAD","22.04","6.29","0.00","--","--","--","15.75"
"VP-N0MT-N7ZS","B08BLN7VTV","B08BLN7VTV","Insulated Portable Cup Carrier - Reusable Coffee or Drink Holder with Shoulder Strap Perfect for Food Delivery and Takeout - Easily Secures 6 Hot or Cold Beverages by Ateny Bags","Biss","Ateny","Amazon","24.99","24.99","12.5","9.9","7.6","47.5","inches","1.8","pounds","UsLargeStandardSize","USD","9.88","3.00","0.00","--","--","--","6.88"
"SM-HFFJ-4C3D","B087V7PR81","B087V7PR81","XL Insulated Reusable Grocery Bags for Food Delivery Pack of Two - Foldable - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates, Restaurant, Catering, Grocery Transport by Ateny Bags","Shoes","Ateny","Amazon","35.38","35.38","45.72","33.02","2.54","116.84","centimeters","431.0","grams","Oversize","CAD","16.26","5.31","0.00","--","--","--","10.95"
"SM-HFFJ-4C3D","B087V7PR81","B087V7PR81","XL Insulated Reusable Grocery Bags for Food Delivery Pack of Two - Foldable - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates, Restaurant, Catering, Grocery Transport by Ateny Bags","Biss","Ateny","Amazon","19.99","19.99","18.0","13.0","1.0","46.0","inches","0.95","pounds","UsLargeStandardSize","USD","7.35","2.40","0.00","--","--","--","4.95"
"6L-9DAU-Z8DD","B0874WFMX1","B0874WFMX1","Ateny Funny Oven Mitt - Wash Your Fking Dishes Cute Housewarming Gift - A Hilarious Kitchen Gift for Women or Men","Home","Ateny","Amazon","14.99","14.99","13.15","7.76","1.26","31.19","inches","0.24","pounds","UsLargeStandardSize","USD","5.72","2.25","0.00","--","--","--","3.47"
"QP-MYZY-ZRMB","B0838LBQ8P","B0838LBQ8P","Ateny Funny Oven Mitt - Watch Me Whip Cute Housewarming Gift - A Hilarious Kitchen Gift for Women or Men","Home","Ateny","Amazon","28.83","28.83","31.8","18.21","2.31","72.85","centimeters","100.02","grams","Standard","CAD","12.70","4.32","0.00","--","--","--","8.38"
"QP-MYZY-ZRMB","B0838LBQ8P","B0838LBQ8P","Ateny Funny Oven Mitt - Watch Me Whip Cute Housewarming Gift - A Hilarious Kitchen Gift for Women or Men","Home","Ateny","Amazon","14.99","14.99","12.52","7.17","0.91","28.68","inches","0.22","pounds","UsLargeStandardSize","USD","5.72","2.25","0.00","--","--","--","3.47"
"8Y-M04H-CDDD","B07DXKWSFX","B07DXKWSFX","Commercial Quality Pizza Delivery Bag - Thick Insulation - Store 5 Pizzas Warm for Hours","Home Improvement","Ateny","Amazon","61.79","61.79","43.81","34.28","13.97","140.31","centimeters","1293.01","grams","Standard","CAD","26.62","9.27","0.00","--","--","--","17.35"
"8Y-M04H-CDDD","B07DXKWSFX","B07DXKWSFX","Commercial Quality XL Pizza Delivery Bag - Store Up to 5 XL Pizzas 18”x 18”x 10” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","Biss","Ateny","Amazon","34.99","34.99","17.25","13.5","5.5","55.24","inches","2.85","pounds","UsLargeStandardSize","USD","11.98","4.20","0.00","--","--","--","7.78"
"QP-YFGN-DNXJ","B071CKVSZK","B071CKVSZK","DSP Blade 750 Table Tennis Paddle - Competition ITTF Certified Double Power Racket Rubbers -Ideal for Advanced or Intermediate Ping Pong Players Looking for Speed, Spin and Control Includes Bag","Sports","DSP Table Tennis","Amazon","29.10","29.10","29.19","19.1","3.0","73.39","centimeters","262.99","grams","Standard","CAD","12.75","4.37","0.00","--","--","--","8.38"
"QP-YFGN-DNXJ","B071CKVSZK","B071CKVSZK","DSP Blade 750 Table Tennis Paddle - Competition ITTF Certified Double Power Racket Rubbers -Ideal for Advanced or Intermediate Ping Pong Players Looking for Speed, Spin and Control Includes Bag","Sports","DSP Table Tennis","Amazon","14.99","14.99","11.49","7.52","1.18","28.89","inches","0.58","pounds","UsLargeStandardSize","USD","5.89","2.25","0.00","--","--","--","3.64"
