campaign_id,campaign__name,campaign__campaign_type,campaign__targeting_type,campaign__budget,campaign__state,campaign__label_names,date_start,date_end,attributed_units_ordered_14_day__sum,attributed_units_ordered_14_day_same_sku__sum,attributed_conversions_14_day__sum,attributed_conversions_14_day_same_sku__sum,spend
NA232502896071814,J-IL-IT-33520-SFP-A Display,sponsoredDisplay,,25.00,paused,Discontinued,07/12/2021,07/18/2021,,,,,
NA234598516781184,PL-PP-CHPRO2-HGBK Offensive Targeting,sponsoredDisplay,,10.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA234633071828904,Cabinet Knobs - Defensive Display - Black,sponsoredDisplay,,100.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA234915342297839,PL-IL-CABKRB-K25-A - X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA240106184941116,PL-IL-CHVOF-ORB-50PK - Knob X-Sell,sponsoredDisplay,,5.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA240404589778438,PL-IFC-WRP-2X13-6PK - Sponsored Display,sponsoredDisplay,,3.00,paused,"Iron Forge Cable,Storage Strap,Wire Cable Tool",07/12/2021,07/18/2021,,,,,
NA242688273598285,PL-IL-CABKRB-S25 - Offensive - Market Share - Disp,sponsoredDisplay,,5.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA242932183377679,Stepping Stones Offensive,sponsoredDisplay,,10.00,paused,"Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA245988327456160,PL-IL-CABKRB-S25 - X-Sell,sponsoredDisplay,,8.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA248260679775542,PL-IL-CHVOF-SN-50PK - X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA251327473242157,PL-IL-DH35-S18 - Defensive - Market Share - Disp,sponsoredDisplay,,3.00,paused,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA252360214002048,PL-IL-CABKRB-S25 Defense New,sponsoredDisplay,,15.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA253194806324791,PL-IL-DH35-B18,sponsoredDisplay,,100.00,enabled,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA257345706875785,Jewelry Organizer Display,sponsoredDisplay,,10.00,paused,"Housewares,Ilyapa,Jewelry Organizers",07/12/2021,07/18/2021,,,,,
NA261538644772878,PL-PP-CHPRO2-YEGY Offensive Targeting,sponsoredDisplay,,10.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA261726087830090,Standing Stool,sponsoredDisplay,,15.00,paused,"Play Platoon,Step Stools,Toys",07/12/2021,07/18/2021,,,,,
NA263142499247433,PL-IL-CHSW-BK-50PK - X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA266436480093897,PL-PP-B20X20T-RBYG Defense,sponsoredDisplay,,10.00,enabled,"Activity Table,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA266908323120726,PL-IFT-WCS-4PC - Display,sponsoredDisplay,,20.00,paused,"Iron Forge Tools,Wire Cable Tool,Wood Working",07/12/2021,07/18/2021,,,,,
NA269065969149718,baseplate - offensive,sponsoredDisplay,,15.00,paused,"Play Platoon,Toys,building Bricks",07/12/2021,07/18/2021,,,,,
NA269710525115067,Pool Basketball Offensive,sponsoredDisplay,,25.00,paused,"Play Platoon,Pool Basketball,Toys",07/12/2021,07/18/2021,,,,,
NA272444417116658,PL-PP-B16X11-KNL - Product Targetting,sponsoredDisplay,,10.00,paused,Discontinued,07/12/2021,07/18/2021,,,,,
NA27309570742096,PL-IL-CHSW-ORB-50PK - Knob X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA276412074094117,PL-IL-CABKRB-S25 - Defensive - Market Share - Disp,sponsoredDisplay,,5.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA277860466431362,PL-IL-MO15.5x11-BNW Defense,sponsoredDisplay,,10.00,enabled,"Housewares,Ilyapa,Mail Organizers",07/12/2021,07/18/2021,,,,,
NA29396275795118,monitor stand - js target,sponsoredDisplay,,40.00,paused,"Housewares,Ilyapa,Monitor Stands",07/12/2021,07/18/2021,,,,,
NA35425227000968,Chairmats - Defense,sponsoredDisplay,,30.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA35767121300993,PL-PP-CHPRO2-HGBL Offensive Targeting,sponsoredDisplay,,10.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA3681936564039,PL-IL-CM36X48RW-RL Display Test Converters,sponsoredDisplay,,20.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA38801807281994,storage strap-offensive display,sponsoredDisplay,,20.00,paused,"Iron Forge Cable,Storage Straps,Wire Cable Tool",07/12/2021,07/18/2021,,,,,
NA3915217328281,PL-IL-CABKRB-K25-A - Defensive BK Collection,sponsoredDisplay,,20.00,enabled,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA43199145880576,PL-IL-CHVOF-BK-50PK - X-Sell,sponsoredDisplay,,10.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA46882996503476,PL-PP-CHPRO2-FLAG Offense Targeting,sponsoredDisplay,,10.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA51779663074553,Cabinet Knobs - Defensive Display - Satin Nickel,sponsoredDisplay,,100.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA67772275701624,PL-IL-MO15.5x11-WHT defense,sponsoredDisplay,,10.00,enabled,"Housewares,Ilyapa,Mail Organizers",07/12/2021,07/18/2021,,,,,
NA68173993107244,PL-IL-CM36X48LW-A-RL - Kuyal Target,sponsoredDisplay,,10.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA68507614853995,Cord Straps - Sponsored Display,sponsoredDisplay,,20.00,enabled,"Iron Forge Cable,Storage Strap,Wire Cable Tool,Yi Test",07/12/2021,07/18/2021,,,,,
NA69857929596245,PL-IL-MNTS-BNW  and WHT - SD - PT,sponsoredDisplay,,8.00,paused,Discontinued,07/12/2021,07/18/2021,,,,,
NA7143770262916,PL-IL-CABKRB-K25-A - Defensive - Market Share - Disp,sponsoredDisplay,,3.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA72103179136723,PL-IFC-163B50 Defense,sponsoredDisplay,,10.00,paused,"16-3 Black,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,,,,,
NA72187155315593,PL-IL-CABKRB-B25 - X-Sell,sponsoredDisplay,,8.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA72345050879042,PL-IL-CABKRB-K25-A - Offensive - Market Share - Disp,sponsoredDisplay,,3.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA76444161640910,PL-IL-DH35-BK18 Amazon Basics Isolated,sponsoredDisplay,,4.00,paused,"Door Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA76857414117296,PL-IL-CHSW-SN-50PK - X-Sell,sponsoredDisplay,,5.00,paused,"Cabinet Hinges,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA77950433926897,ringtoss game defensive,sponsoredDisplay,,3.00,paused,"Play Platoon,Ring Toss,Toys",07/12/2021,07/18/2021,,,,,
NA80634835097138,PL-IL-CM36X48RW-RL - Kuyal,sponsoredDisplay,,10.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA84178274485117,PL-IFC-CMB-BKWD-2PK - Sponsored Display,sponsoredDisplay,,10.00,enabled,"Cable Management Box,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,,,,,
NA86989158653665,Cabinet Knob Audience Display,sponsoredDisplay,,25.00,paused,"Cabinet Knobs,Hardware,Housewares",07/12/2021,07/18/2021,,,,,
NA8987745594150,PL-IFC-163CR30-BRK Defense,sponsoredDisplay,,10.00,paused,"Cord Reels,Iron Forge Cable,Wire Cable Tool",07/12/2021,07/18/2021,,,,,
NA90892084386189,PL-IL-CM30X48LW-A-RL - Kuyal Target,sponsoredDisplay,,10.00,paused,"Chair Mats,Housewares,Ilyapa",07/12/2021,07/18/2021,,,,,
NA97206330961344,PL-PP-CHPRO PRO Cornhole Defense,sponsoredDisplay,,25.00,paused,"Corn Hole Pro,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
NA97220442877993,PL-PP-DICEBUC-6PK Defense,sponsoredDisplay,,5.00,paused,"Lawn Dice,Play Platoon,Toys",07/12/2021,07/18/2021,,,,,
