"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"amzn.gr.PL-IFC-163B50-PK2-DL-tegavCyx-VG","X002YE839B","B07MTP9LB3","2 Pack of 50 Ft Black Extension Cord - 16/3 Durable Electrical Cable Pack","Home Improvement","Iron Forge Cable","Amazon","30.56","30.56","12.99","6.93","5.63","38.11","inches","7.54","pounds","UsLargeStandardSize","USD","11.76","4.58","0.00","--","--","--","7.18"
"amzn.gr.PL-PP-HKRING-BN-A-iX3C42ay590-VG","X002YE68JX","B088P89K41","Play Platoon Hook and Ring Game with Bottle Opener and Magnetic Cap Catch - Ring Toss Game for Adults, Rustic Wood","Sports","Play Platoon","Amazon","26.77","26.77","17.44","3.74","2.68","30.28","inches","1.5","pounds","UsLargeStandardSize","USD","8.97","4.02","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-SDH4-BK2-qnqcHr_9JNIzkv-GD","X002YE64RT","B07TDR4ZBX","""Ilyapa Self Closing Door Hinges, 2 Pack, Black - 4x4 Inch Improved Interior Spring Hinges for Doors with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","22.39","22.39","5.71","2.76","1.22","13.67","inches","1.9","pounds","UsLargeStandardSize","USD","8.31","3.36","0.00","--","--","--","4.95"
"amzn.gr.PL-IFC-163B50-PK2-DL-JNoWPzAa-VG","X002YE600P","B07MTP9LB3","2 Pack of 50 Ft Black Extension Cord - 16/3 Durable Electrical Cable Pack","Home Improvement","Iron Forge Cable","Amazon","30.56","30.56","12.99","6.93","5.63","38.11","inches","7.54","pounds","UsLargeStandardSize","USD","11.76","4.58","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-CABPH-FC-BK25-DL-7K_2vg-LN","X002YE3R51","B07XTP6687","Ilyapa 25 Pack 3 Inch Black Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Black Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","35.09","35.09","7.32","6.65","2.87","26.38","inches","3.32","pounds","UsLargeStandardSize","USD","11.24","5.26","0.00","--","--","--","5.98"
"amzn.gr.PL-IL-SDH4-BK2-ZInYRG7TDNh_J--GD","X002YE1627","B07TDR4ZBX","""Ilyapa Self Closing Door Hinges, 2 Pack, Black - 4x4 Inch Improved Interior Spring Hinges for Doors with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","22.39","22.39","5.71","2.76","1.22","13.67","inches","1.9","pounds","UsLargeStandardSize","USD","8.31","3.36","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-KCHB12X16-BR-Sxf5G385hh-LN","X002YDKZDJ","B077V144QK","Rustic Wooden Magnetic Kitchen Chalkboard Sign - 12x16 Inch Brown Framed Wall Hanging Chalk Board for Farmhouse Decor, Wedding, Restaurant Menu & Home","Home","Ilyapa","Amazon","16.19","16.19","16.65","12.28","1.46","44.13","inches","1.74","pounds","UsLargeStandardSize","USD","8.11","2.43","0.00","--","--","--","5.68"
"amzn.gr.PL-IFC-123Y25-DL-HpEPkjOdeHgV-GD","X002YDF58J","B019P9ZGGO","25 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","Home Improvement","Iron Forge Cable","Amazon","24.49","24.49","13.62","6.14","2.24","30.38","inches","3.53","pounds","UsLargeStandardSize","USD","9.76","3.67","0.00","--","--","--","6.09"
"amzn.gr.PL-IFC-CMB-WTWD-2PK-86uwhkDOP-AC","X002YDCZMN","B07WNK9FG7","Iron Forge Cable Cable Management Box, 2 Pack - White Cord Organizer with Wood Top - Hider for Wires, Power Strips, Surge Protectors & More - Includes Accessories","Electronics","Iron Forge Cable","Amazon","25.49","25.49","16.3","6.4","5.7","40.5","inches","3.0","pounds","UsLargeStandardSize","USD","10.10","3.82","0.00","--","--","--","6.28"
"amzn.gr.PL-IL-CHFHFO-SN-2PK-DSQsKhLoi-VG","X002YDBG8R","B086VM19WD","Ilyapa Soft Close Cabinet Hinges Satin Nickel, 2 Pack - Frameless Full Overlay Kitchen Cabinet Door Hinges Hardware","Home Improvement","Ilyapa","Amazon","6.79","6.79","6.1","4.13","1.14","16.65","inches","0.39","pounds","UsLargeStandardSize","USD","4.66","1.02","0.00","--","--","--","3.64"
"amzn.gr.PL-IL-DH35-S18-wCWqtCeAF1X2R5-VG","X002YD6ODT","B01JMZXC1M","""18 Pack of Door Hinges Satin Nickel - 3 ½” x 3 ½” Inch Interior Hinges for Doors Brushed Nickel with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","34.84","34.84","8.1","4.4","2.2","21.3","inches","7.25","pounds","UsLargeStandardSize","USD","12.41","5.23","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-DH35-.25-BK18-ruCZ6Zmfa-AC","X002YCO4N7","B07TCPYZ9D","""Ilyapa 18 Pack of Door Hinges Black - 3 ½ x 3 ½ Inch Interior Hinges for Doors with 1/4"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","29.99","29.99","8.2","4.4","2.2","21.4","inches","7.5","pounds","UsLargeStandardSize","USD","11.68","4.50","0.00","--","--","--","7.18"
"amzn.gr.PL-IFC-103DRYADP-BK1.5-yz2yEc-LN","X002WIPJL9","B089DPY3YS","4 Prong to 3 Prong Dryer Plug Adapter - 10/3 STW 1.5 Ft Black Outlet Adapter for Dryer - NEMA 14-30R to 10-30P","Home Improvement","Iron Forge Cable","Amazon","39.99","39.99","11.06","6.5","2.64","29.33","inches","1.46","pounds","UsLargeStandardSize","USD","10.95","6.00","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-DH35-BR18-cBMhOaahZkkcb-GD","X002WBYHPP","B081T8V316","""Ilyapa 18 Pack Polished Brass Door Hinges - 3.5 x 3.5 Inch Interior Hinges for Doors Polished Brass with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","26.39","26.39","8.3","4.4","2.0","21.1","inches","6.9","pounds","UsLargeStandardSize","USD","10.84","3.96","0.00","--","--","--","6.88"
"amzn.gr.PL-IL-CABPH-FC-B10-KxvL6uB4iA-LN","X002WBVWFD","B07XLNQFR3","Ilyapa 10 Pack 3 Inch Oil Rubbed Bronze Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Oil Rubbed Bronze Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","17.99","17.99","6.81","4.29","1.65","18.7","inches","1.37","pounds","UsLargeStandardSize","USD","7.65","2.70","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-CHSW-SN-50PK-eXidbp_n7P-AC","X002WBUZ47","B086VMDY3R","Ilyapa Self Closing Cabinet Hinges Satin Nickel, 50 Pack - 1/2 Inch Overlay 3/4 Inch Frame Semi Wrap Kitchen Cabinet Door Hinge Hardwar","Home Improvement","Ilyapa","Amazon","44.99","44.99","10.16","6.18","3.7","29.92","inches","6.04","pounds","UsLargeStandardSize","USD","13.63","6.75","0.00","--","--","--","6.88"
"amzn.gr.PL-IL-CABPH-FC-B10-KxvL6uB4iA-VG","X002WBMMBV","B07XLNQFR3","Ilyapa 10 Pack 3 Inch Oil Rubbed Bronze Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Oil Rubbed Bronze Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","16.99","16.99","6.81","4.29","1.65","18.7","inches","1.37","pounds","UsLargeStandardSize","USD","7.50","2.55","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-DH35-SQ-S18-Jn7zZgtkpJC-AC","X002WBGSBV","B07T8JXQTS","Ilyapa 18 Pack of Door Hinges Satin Nickel - 3 ½ x 3 ½ Inch Square Interior Hinges for Doors","Home Improvement","Ilyapa","Amazon","27.99","27.99","8.19","4.25","2.6","21.89","inches","7.3","pounds","UsLargeStandardSize","USD","11.38","4.20","0.00","--","--","--","7.18"
"amzn.gr.PL-PP-CH-YEBK-A-DL-X-rCmTTr5t-GD","X002WAJP2B","B07DRNLCYD","Play Platoon Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Yellow & 4 Black","Sports","Play Platoon","Amazon","17.18","17.18","11.02","9.21","2.67","34.79","inches","7.93","pounds","UsLargeStandardSize","USD","9.76","2.58","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-TB5X6-BR-qIK9Yqf6ENlfl4-VG","X002W9OQMV","B07QCCFG3X","Ilyapa Wood Tissue Box Cover Square - Rustic Farmhouse Wooden Tissue Holder","Home","Ilyapa","Amazon","13.40","13.40","6.3","6.1","6.0","30.5","inches","0.55","pounds","UsLargeStandardSize","USD","5.65","2.01","0.00","--","--","--","3.64"
"amzn.gr.PL-CT-MS18H-64PK-vxnLNBEcQz46-VG","X002W9KHNX","B087Y6C1NS","Metal Stamping Kit, 64 Piece Punch Set - Handwritten Style Font Number & Letter Stamps for Metal, Jewelry, Wood, Leather & More","Home","Crutello","Amazon","29.07","29.07","5.24","3.39","2.87","17.76","inches","2.77","pounds","UsLargeStandardSize","USD","10.04","4.36","0.00","--","--","--","5.68"
"amzn.gr.PL-IFC-163G25P-2iu0lWEOO8H-v3-VG","X002W9HQWD","B019P9ZFJW","25 Foot Outdoor Extension Cord with 3 Electrical Power Outlets - 16/3 SJTW Durable Green Extension Cable with 3 Prong Grounded Plug for Safety","Home Improvement","Iron Forge Cable","Amazon","24.61","24.61","12.4","4.6","1.5","24.6","inches","2.15","pounds","UsLargeStandardSize","USD","9.37","3.69","0.00","--","--","--","5.68"
"amzn.gr.PL-CT-MSHB-lnt7nOiT207G7ITsTB-GD","X002W8IBAZ","B087XZYJXC","Metal Stamping Hammer and Steel Bench Block for Personalizing Jewelry, Wood, Leather & More","Home","Crutello","Amazon","38.39","38.39","7.67","5.15","2.24","22.45","inches","3.18","pounds","UsLargeStandardSize","USD","11.74","5.76","0.00","--","--","--","5.98"
"amzn.gr.PL-IL-CABKRB-RD-S25-Nt-tnD7Z4-LN","X002W8I2ZJ","B07FFCP2G5","Ilyapa Satin Nickel Kitchen Cabinet Knobs - 1 1/4 Round Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","26.09","26.09","7.4","6.6","2.7","25.99","inches","2.85","pounds","UsLargeStandardSize","USD","9.59","3.91","0.00","--","--","--","5.68"
"amzn.gr.PL-PP-CH-PUBK-DL-su4d-QA32bzv-LN","X002W8GTT5","B07MWKT9F4","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Purple & Black","Sports","Play Platoon","Amazon","17.48","17.48","12.52","2.99","2.36","23.23","inches","7.55","pounds","UsLargeStandardSize","USD","9.80","2.62","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-DH35-.25-S18-HN2m5O-k3R-VG","X002W704RT","B07TCQMN7P","""Ilyapa 18 Pack of Door Hinges Satin Nickel - 3 ½ x 3 ½ Inch Interior Hinges for Doors with 1/4"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","33.14","33.14","8.07","4.25","2.17","20.91","inches","7.31","pounds","UsLargeStandardSize","USD","12.15","4.97","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-WP11X15-WHT-2PK--V-HNYV-LN","X002W631Q1","B07M65H5N2","Ilyapa Window Frame Wall Decor 2 Pack - Rustic White Wood Window Pane Country Farmhouse Decorations","Home","Ilyapa","Amazon","22.78","22.78","15.21","11.54","2.25","42.79","inches","2.45","pounds","UsLargeStandardSize","USD","9.10","3.42","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-DH35-.25-BK18-J9fTPj11d-LN","X002W61FIH","B07TCPYZ9D","""Ilyapa 18 Pack of Door Hinges Black - 3 ½ x 3 ½ Inch Interior Hinges for Doors with 1/4"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","45.89","45.89","8.2","4.4","2.2","21.4","inches","7.5","pounds","UsLargeStandardSize","USD","14.06","6.88","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-DH35-BR18-sgAIBjF9RNvBC-LN","X002W5XF7H","B081T8V316","""Ilyapa 18 Pack Polished Brass Door Hinges - 3.5 x 3.5 Inch Interior Hinges for Doors Polished Brass with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","31.49","31.49","8.3","4.4","2.0","21.1","inches","6.9","pounds","UsLargeStandardSize","USD","11.60","4.72","0.00","--","--","--","6.88"
"amzn.gr.PL-IL-WP11X15-WHT-2PK--V-HNYV-VG","X002W5SJZ5","B07M65H5N2","Ilyapa Window Frame Wall Decor 2 Pack - Rustic White Wood Window Pane Country Farmhouse Decorations","Home","Ilyapa","Amazon","21.51","21.51","15.21","11.54","2.25","42.79","inches","2.45","pounds","UsLargeStandardSize","USD","8.91","3.23","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-DS-SLD-WH10-DL-c5MN-v6k-LN","X002W4X9ID","B07FFBBLSY","Ilyapa Solid Door Stops - 10 Pack 2 ? Inch Heavy Duty Door Stop - Traditional Solid Door Stop - White w/Rubber Bumper","Office Products","Ilyapa","Amazon","10.24","10.24","6.65","4.25","1.65","18.45","inches","0.99","pounds","UsLargeStandardSize","USD","5.79","1.54","0.00","--","--","--","4.25"
"amzn.gr.PL-IL-WP11X15-WHT-2PK--RPl8FS-VG","X002W4X3F7","B07M65H5N2","Ilyapa Window Frame Wall Decor 2 Pack - Rustic White Wood Window Pane Country Farmhouse Decorations","Home","Ilyapa","Amazon","21.94","21.94","15.21","11.54","2.25","42.79","inches","2.45","pounds","UsLargeStandardSize","USD","8.97","3.29","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-CABPH-FC-B10-fsH2YDqb42-LN","X002W4VY4T","B07XLNQFR3","Ilyapa 10 Pack 3 Inch Oil Rubbed Bronze Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Oil Rubbed Bronze Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","17.99","17.99","6.81","4.29","1.65","18.7","inches","1.37","pounds","UsLargeStandardSize","USD","7.65","2.70","0.00","--","--","--","4.95"
"amzn.gr.PL-PP-CH-BLBK-rysN_5KaIHtpLMX-LN","X002W4UTXL","B077XKPJ9K","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Blue & Black","Sports","Play Platoon","Amazon","18.10","18.10","11.37","11.02","2.13","37.67","inches","7.49","pounds","UsLargeStandardSize","USD","9.90","2.72","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-WP11X15-CHR-2PK--nYRY6w-LN","X002W4PFXZ","B07M65H75B","Ilyapa Window Frame Wall Decor 2 Pack - Rustic Wood Window Pane Country Farmhouse Decorations","Home","Ilyapa","Amazon","17.09","17.09","15.3","11.4","2.2","42.5","inches","2.2","pounds","UsLargeStandardSize","USD","8.24","2.56","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-CABPC-S10-8H9a6NDAmlEfE-VG","X002W4P6TD","B01JMZWX7G","Ilyapa Satin Nickel Kitchen Cabinet Pulls - 3 Inch Hole Center Bin Cup Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","9.99","9.99","7.2","4.2","2.3","20.2","inches","2.15","pounds","UsLargeStandardSize","USD","7.18","1.50","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-DH35-S18-LIwekL6LY2WURY-LN","X002W4MKP1","B01JMZXC1M","""18 Pack of Door Hinges Satin Nickel - 3 ½” x 3 ½” Inch Interior Hinges for Doors Brushed Nickel with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","35.09","35.09","8.1","4.4","2.2","21.3","inches","7.25","pounds","UsLargeStandardSize","USD","12.44","5.26","0.00","--","--","--","7.18"
"amzn.gr.PL-IL-DH35-S18-wCWqtCeAF1X2R5-LN","X002W4HB05","B01JMZXC1M","""18 Pack of Door Hinges Satin Nickel - 3 ½” x 3 ½” Inch Interior Hinges for Doors Brushed Nickel with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","35.09","35.09","8.1","4.4","2.2","21.3","inches","7.25","pounds","UsLargeStandardSize","USD","12.44","5.26","0.00","--","--","--","7.18"
"amzn.gr.PL-PP-CH-BGGY-uvtk9-frww-QNh_-VG","X002W4GKBL","B07MWJCDZ4","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Burgundy & Gray","Sports","Play Platoon","Amazon","16.67","16.67","9.53","8.11","2.52","30.79","inches","7.56","pounds","UsLargeStandardSize","USD","9.68","2.50","0.00","--","--","--","7.18"
"amzn.gr.PL-IFC-163G50-DL-sh_w1FPaeaEV-AC","X002W4FIJL","B01JN1JRXW","50 Ft Outdoor Extension Cord - 16/3 Durable Green Cable - Great for Powering Outdoor Decorations","Home Improvement","Iron Forge Cable","Amazon","25.48","25.48","11.81","4.88","3.0","27.57","inches","3.7","pounds","UsLargeStandardSize","USD","9.91","3.82","0.00","--","--","--","6.09"
"amzn.gr.PL-IL-DH35-.25-BK18-J9fTPj11d-VG","X002W4F8O1","B07TCPYZ9D","""Ilyapa 18 Pack of Door Hinges Black - 3 ½ x 3 ½ Inch Interior Hinges for Doors with 1/4"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","43.34","43.34","8.2","4.4","2.2","21.4","inches","7.5","pounds","UsLargeStandardSize","USD","13.68","6.50","0.00","--","--","--","7.18"
"amzn.gr.PL-IFC-103DRYADP-BK1.5-z5MQg2-VG","X002W4D0R3","B089DPY3YS","4 Prong to 3 Prong Dryer Plug Adapter - 10/3 STW 1.5 Ft Black Outlet Adapter for Dryer - NEMA 14-30R to 10-30P","Home Improvement","Iron Forge Cable","Amazon","48.37","48.37","11.06","6.5","2.64","29.33","inches","1.46","pounds","UsLargeStandardSize","USD","12.21","7.26","0.00","--","--","--","4.95"
"amzn.gr.PL-IL-CABPH-FC-BK25-NvmeBub4Y-LN","X002W30MEX","B07XTP6687","Ilyapa 25 Pack 3 Inch Black Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Black Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","26.09","26.09","7.32","6.65","2.87","26.38","inches","3.32","pounds","UsLargeStandardSize","USD","9.89","3.91","0.00","--","--","--","5.98"
"amzn.gr.PL-IL-DH35-BK18-kxdq8KnEctGby-LN","X002W30CG1","B07FFBN8NN","""Ilyapa 18 Pack Matte Black Door Hinges - 3.5 x 3.5 Inch Interior Hinges for Doors Flat Black with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","35.09","35.09","8.19","4.33","2.2","21.25","inches","7.25","pounds","UsLargeStandardSize","USD","12.44","5.26","0.00","--","--","--","7.18"
"amzn.gr.PL-IFC-163G50P-DL-ZPc9HfDHCLH-LN","X002W2CX19","B074TWQGCL","50 Foot Outdoor Extension Cord with 3 Electrical Power Outlets - 16/3 SJTW Durable Green Cable with 3 Prong Grounded Plug for Safety - Great for Powering Outdoor Christmas Decorations","Electronics","Iron Forge Cable","Amazon","42.30","42.30","12.08","6.14","2.63","29.62","inches","3.9","pounds","UsLargeStandardSize","USD","12.33","6.35","0.00","--","--","--","5.98"
"amzn.gr.PL-IL-CABKSQ-B25-hJuJfp7MBYC4-LN","X002W27JV3","B07PQYKMH9","Ilyapa Oil Rubbed Bronze Square Kitchen Cabinet Knobs - 25 Pack of Drawer Handles Hardware","Home Improvement","Ilyapa","Amazon","28.13","28.13","7.36","6.65","2.72","26.1","inches","2.82","pounds","UsLargeStandardSize","USD","9.90","4.22","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-CABPH-FC-BK25-7K_2vgG-I-VG","X002W1U5I3","B07XTP6687","Ilyapa 25 Pack 3 Inch Black Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Black Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","26.34","26.34","7.32","6.65","2.87","26.38","inches","3.32","pounds","UsLargeStandardSize","USD","9.93","3.95","0.00","--","--","--","5.98"
"amzn.gr.v1.hr1-jNDMD64Wi88lZz5kyXqyGkY","X002W1TMBT","B07XTP6687","Ilyapa 25 Pack 3 Inch Black Cabinet Pulls - Kitchen Drawer Pulls, Modern Cabinet Handles, Black Kitchen Cabinet Hardware with 3 Inch Hole Center","Home Improvement","Ilyapa","Amazon","23.79","23.79","7.32","6.65","2.87","26.38","inches","3.32","pounds","UsLargeStandardSize","USD","9.55","3.57","0.00","--","--","--","5.98"
"amzn.gr.PL-IL-WP11X15-CHR-2PK-nYRY6wh-LN","X002W1Q7B7","B07M65H75B","Ilyapa Window Frame Wall Decor 2 Pack - Rustic Wood Window Pane Country Farmhouse Decorations","Home","Ilyapa","Amazon","17.09","17.09","15.3","11.4","2.2","42.5","inches","2.2","pounds","UsLargeStandardSize","USD","8.24","2.56","0.00","--","--","--","5.68"
"amzn.gr.PL-IL-DS-SLD-B10-DL-9NyWrU2yW-VG","X002W0HULT","B07FFC95DY","Ilyapa Solid Door Stops - 10 Pack 2 ? Inch Heavy Duty Door Stop - Traditional Solid Door Stop - Oil Rubbed Bronze w/Rubber Bumper","Office Products","Ilyapa","Amazon","18.29","18.29","6.77","4.25","1.69","18.65","inches","0.99","pounds","UsLargeStandardSize","USD","6.99","2.74","0.00","--","--","--","4.25"
"amzn.gr.v1.3mJ-0dkdLXBSi6G3oG5pzglCb1s","X002VZ2LZZ","B07LGD61Z3","Weather Resistant Cornhole Bean Bags Set of 8 - Blue & Gray","Biss","Play Platoon","Amazon","20.85","20.85","10.8","8.8","1.8","32.0","inches","7.65","pounds","UsLargeStandardSize","USD","9.68","2.50","0.00","--","--","--","7.18"
